k,m_bits,n,insert_ns_op,check_hit_ns_op,check_miss_ns_op,occupancy,fpr_empirical,fpr_estimated,fpr_theoretical,mem_bytes
4,65521,1000,11.148,11.008,6.838,0.0595,0.000000,0.000013,0.000012,8191
4,65521,2000,10.645,9.294,6.208,0.1151,0.000100,0.000176,0.000175,8191
4,65521,5000,7.059,5.903,7.361,0.2629,0.004575,0.004775,0.004789,8191
4,65521,10000,5.955,5.496,12.556,0.4567,0.042500,0.043489,0.043586,8191
4,65521,15000,5.896,5.750,15.350,0.5992,0.127025,0.128868,0.129409,8191
4,65521,20000,5.674,5.375,13.684,0.7042,0.242825,0.245896,0.247118,8191
6,65521,1000,10.337,8.624,3.568,0.0877,0.000000,0.000000,0.000000,8191
6,65521,2000,8.610,9.083,5.168,0.1670,0.000025,0.000022,0.000022,8191
6,65521,5000,8.716,8.029,9.784,0.3674,0.002100,0.002460,0.002458,8191
6,65521,10000,8.532,8.030,17.064,0.5998,0.044625,0.046581,0.046553,8191
6,65521,15000,8.685,8.623,15.895,0.7468,0.172900,0.173533,0.173481,8191
6,65521,20000,8.773,8.621,14.750,0.8386,0.346475,0.347841,0.350853,8191
8,65521,1000,11.499,11.483,4.457,0.1152,0.000000,0.000000,0.000000,8191
8,65521,2000,11.502,11.473,6.460,0.2167,0.000000,0.000005,0.000005,8191
8,65521,5000,11.740,11.466,13.171,0.4574,0.002125,0.001916,0.001900,8191
8,65521,10000,11.563,10.702,17.328,0.7045,0.061225,0.060685,0.061067,8191
8,65521,15000,11.607,10.703,16.150,0.8390,0.246825,0.245556,0.247458,8191
8,65521,20000,10.916,10.704,15.146,0.9121,0.479575,0.479088,0.482842,8191
