table_size,n,load_factor,insert_ns_op,search_ns_op,remove_ns_op,collisions,longest_chain,mem_bytes
4099,1000,0.2440,10.937,3.041,9.287,102,3,104792
4099,2000,0.4879,11.057,4.064,16.289,401,4,176792
4099,5000,1.2198,9.585,3.862,13.167,2077,6,392792
4099,10000,2.4396,10.673,6.319,20.746,6194,9,752792
4099,20000,4.8792,11.906,11.216,30.705,15914,12,1472792
4099,40000,9.7585,17.335,26.620,47.492,35901,16,2912792
4099,60000,14.6377,11.802,51.372,61.161,55901,16,4352792
16411,1000,0.0609,10.801,2.627,7.962,22,2,203288
16411,2000,0.1219,10.313,2.908,8.415,71,2,275288
16411,5000,0.3047,11.018,3.263,11.466,515,3,491288
16411,10000,0.6093,11.267,4.380,15.034,2054,4,851288
16411,20000,1.2187,15.445,5.066,20.274,7476,4,1571288
16411,40000,2.4374,17.746,6.591,24.658,23972,4,3011288
16411,60000,3.6561,13.478,7.350,29.587,43589,4,4451288
65521,1000,0.0153,10.410,2.299,8.383,0,1,596168
65521,2000,0.0305,10.058,2.451,14.573,0,1,668168
65521,5000,0.0763,10.533,2.660,10.470,0,1,884168
65521,10000,0.1526,12.300,2.715,16.773,0,1,1244168
65521,20000,0.3052,14.148,2.816,22.846,1,2,1964168
65521,40000,0.6105,14.512,2.804,23.747,4,2,3404168
65521,60000,0.9157,14.950,3.158,25.422,15,2,4844168
