structure,n,enqueue_ns_op,dequeue_ns_op,cycle_ns_op,mem_bytes
static,1000,3.379,3.592,3.618,200008
dynamic,1000,8.265,5.184,8.713,32000
static,2000,3.357,3.594,3.643,200008
dynamic,2000,8.104,5.171,8.915,64000
static,3000,3.370,3.538,3.634,200008
dynamic,3000,8.186,5.415,9.136,96000
static,4000,3.155,3.357,3.442,200008
dynamic,4000,8.142,5.338,9.120,128000
static,5000,3.381,3.592,3.644,200008
dynamic,5000,8.210,5.220,9.113,160000
static,6000,3.165,3.354,3.413,200008
dynamic,6000,8.193,5.180,9.141,192000
static,7000,3.172,3.355,3.437,200008
dynamic,7000,8.124,5.222,8.989,224000
static,8000,3.170,3.353,3.439,200008
dynamic,8000,8.533,5.524,9.095,256000
static,9000,3.179,3.352,3.422,200008
dynamic,9000,8.192,5.273,9.016,288000
static,10000,3.178,3.352,3.423,200008
dynamic,10000,8.170,5.204,9.034,320000
