p,n,insert_ns_op,search_ns_op,remove_ns_op,mem_bytes,avg_height,max_level
0.50,1000,113.023,62.861,92.751,56416,2.0330,12
0.50,3000,125.479,94.757,119.007,167448,1.9707,11
0.50,10000,135.958,142.940,185.438,559416,1.9908,13
0.50,30000,174.555,216.377,265.638,1676896,1.9864,17
0.50,100000,177.284,317.486,655.847,5604456,2.0054,17
0.25,1000,102.471,63.596,80.947,50560,1.3010,5
0.25,3000,104.918,95.597,107.754,152624,1.3530,7
0.25,10000,123.874,164.928,188.085,506384,1.3279,8
0.25,30000,166.026,313.882,386.570,1521496,1.3389,8
0.25,100000,176.413,480.082,1378.736,5066560,1.3330,10
