time_ms,rpm,tps,oil_pressure,temperature,turbo_pressure
12,921,6,1.599,30.20,-0.535
24,924,1,1.495,30.40,-0.562
36,1050,36,1.552,30.60,-0.441
48,901,0,1.583,30.80,-0.572
60,896,0,1.487,31.00,-0.429
72,1008,32,1.554,31.20,-0.532
84,1169,46,1.610,31.40,-0.523
96,1323,44,1.761,31.60,-0.480
108,1344,6,1.747,31.80,-0.461
120,1164,0,1.627,32.00,-0.428
132,1167,1,1.623,32.20,-0.539
144,1325,45,1.688,32.40,-0.622
156,1145,0,1.593,32.60,-0.443
168,1302,45,1.748,32.80,-0.583
180,1122,0,1.604,33.00,-0.569
192,1406,81,1.723,33.20,-0.466
204,1423,5,1.843,33.40,-0.408
216,1430,2,1.777,33.60,-0.469
228,1490,17,1.864,33.80,-0.487
240,1717,65,2.055,34.00,-0.489
252,1738,6,1.918,34.20,-0.542
264,1784,13,2.035,34.40,-0.446
276,1604,0,1.904,34.60,-0.548
288,1667,18,1.974,34.80,-0.414
300,1674,2,1.950,35.00,-0.487
312,1494,0,1.923,35.20,-0.496
324,1314,0,1.721,35.40,-0.515
336,1349,10,1.734,35.60,-0.482
348,1169,0,1.690,35.80,-0.510
360,1228,17,1.660,36.00,-0.477
372,1263,10,1.741,36.20,-0.463
384,1288,7,1.753,36.40,-0.543
396,1291,1,1.693,36.60,-0.451
408,1330,11,1.857,36.80,-0.536
420,1610,80,1.965,37.00,-0.473
432,1648,11,1.868,37.20,-0.435
444,1704,16,1.972,37.40,-0.531
456,1722,5,1.936,37.60,-0.573
468,1967,70,2.104,37.80,-0.548
480,1984,5,2.103,38.00,-0.560
492,1804,0,2.022,38.20,-0.485
504,1624,0,1.989,38.40,-0.411
516,1444,0,1.858,38.60,-0.590
528,1448,1,1.817,38.80,-0.523
540,1268,0,1.643,39.00,-0.561
552,1088,0,1.639,39.20,-0.552
564,1098,3,1.635,39.40,-0.461
576,918,0,1.489,39.60,-0.577
588,899,0,1.560,39.80,-0.526
600,1179,80,1.696,40.00,-0.522
612,1235,16,1.634,40.20,-0.401
624,1055,0,1.585,40.40,-0.536
636,1065,3,1.605,40.60,-0.427
648,901,0,1.492,40.80,-0.613
660,1136,67,1.602,41.00,-0.470
672,956,0,1.557,41.20,-0.571
684,915,0,1.489,41.40,-0.399
696,1188,78,1.639,41.60,-0.537
708,1008,0,1.561,41.80,-0.404
720,1302,84,1.768,42.00,-0.517
732,1122,0,1.740,42.20,-0.571
744,942,0,1.511,42.40,-0.570
756,1061,34,1.594,42.60,-0.493
768,1127,19,1.680,42.80,-0.544
780,1159,9,1.658,43.00,-0.572
792,1302,41,1.672,43.20,-0.425
804,1362,17,1.742,43.40,-0.586
816,1390,8,1.804,43.60,-0.505
828,1210,0,1.689,43.80,-0.526
840,1234,7,1.718,44.00,-0.580
852,1287,15,1.678,44.20,-0.430
864,1332,13,1.790,44.40,-0.605
876,1392,17,1.777,44.60,-0.442
888,1437,13,1.836,44.80,-0.414
900,1500,18,1.821,45.00,-0.419
912,1675,50,2.022,45.20,-0.454
924,1495,0,1.773,45.40,-0.467
936,1558,18,1.854,45.60,-0.427
948,1593,10,1.819,45.80,-0.512
960,1413,0,1.735,46.00,-0.540
972,1233,0,1.649,46.20,-0.463
984,1300,19,1.665,46.40,-0.390
996,1310,3,1.713,46.60,-0.500
1008,1130,0,1.675,46.80,-0.480
1020,1340,60,1.752,47.00,-0.478
1032,1372,9,1.740,47.20,-0.407
1044,1491,34,1.837,47.40,-0.461
1056,1837,99,1.936,47.60,-0.491
1068,1890,15,1.973,47.80,-0.502
1080,1897,2,2.038,48.00,-0.457
1092,1935,11,2.118,48.20,-0.432
1104,1970,10,2.124,48.40,-0.458
1116,2005,10,2.073,48.60,-0.558
1128,2065,17,2.172,48.80,-0.564
1140,1885,0,2.145,49.00,-0.483
1152,1930,13,2.051,49.20,-0.457
1164,1986,16,2.015,49.40,-0.468
1176,2217,66,2.136,49.60,-0.544
1188,2037,0,2.120,49.80,-0.531
1200,2384,99,2.364,50.00,-0.516
1212,2415,9,2.373,50.20,-0.579
1224,2235,0,2.266,50.40,-0.394
1236,2270,10,2.246,50.60,-0.417
1248,2090,0,2.069,50.80,-0.498
1260,2346,73,2.290,51.00,-0.499
1272,2166,0,2.180,51.20,-0.591
1284,2229,18,2.236,51.40,-0.547
1296,2530,86,2.413,51.60,-0.562
1308,2350,0,2.268,51.80,-0.589
1320,2378,8,2.294,52.00,-0.406
1332,2598,63,2.510,52.20,-0.503
1344,2647,14,2.459,52.40,-0.517
1356,2679,9,2.451,52.60,-0.459
1368,2499,0,2.404,52.80,-0.505
1380,2541,12,2.447,53.00,-0.480
1392,2709,48,2.549,53.20,-0.129
1404,2715,36,2.537,53.40,0.029
1416,2747,9,2.534,53.60,-0.455
1428,2750,1,2.539,53.80,-0.415
1440,2570,0,2.390,54.00,-0.419
1452,2630,17,2.440,54.20,-0.405
1464,2450,0,2.384,54.40,-0.595
1476,2270,0,2.272,54.60,-0.561
1488,2090,0,2.106,54.80,-0.429
1500,2118,8,2.166,55.00,-0.485
1512,1938,0,2.056,55.20,-0.413
1524,1758,0,1.936,55.40,-0.419
1536,2090,95,2.108,55.60,-0.452
1548,2143,15,2.191,55.80,-0.412
1560,2171,8,2.205,56.00,-0.424
1572,1991,0,2.074,56.20,-0.461
1584,2019,8,2.226,56.40,-0.565
1596,2138,34,2.287,56.60,-0.498
1608,2351,61,2.372,56.80,-0.434
1620,2355,1,2.245,57.00,-0.447
1632,2512,45,2.456,57.20,-0.414
1644,2526,4,2.353,57.40,-0.441
1656,2547,6,2.332,57.60,-0.530
1668,2579,9,2.506,57.80,-0.523
1680,2399,0,2.305,58.00,-0.465
1692,2434,10,2.340,58.20,-0.484
1704,2581,42,2.410,58.40,-0.512
1716,2401,0,2.247,58.60,-0.466
1728,2221,0,2.280,58.80,-0.444
1740,2041,0,2.082,59.00,-0.463
1752,1861,0,2.094,59.20,-0.481
1764,1681,0,1.948,59.40,-0.423
1776,1501,0,1.874,59.60,-0.577
1788,1321,0,1.736,59.80,-0.514
1800,1377,16,1.805,60.00,-0.400
1812,1436,17,1.777,60.20,-0.436
1824,1457,6,1.819,60.40,-0.557
1836,1277,0,1.709,60.60,-0.592
1848,1596,91,1.870,60.80,-0.489
1860,1624,8,1.865,61.00,-0.414
1872,1627,1,1.935,61.20,-0.515
1884,1447,0,1.809,61.40,-0.544
1896,1267,0,1.682,61.60,-0.541
1908,1087,0,1.661,61.80,-0.470
1920,1101,4,1.562,62.00,-0.430
1932,921,0,1.563,62.20,-0.480
1944,1208,82,1.740,62.40,-0.514
1956,1028,0,1.588,62.60,-0.591
1968,1091,18,1.674,62.80,-0.403
1980,1112,6,1.623,63.00,-0.437
1992,1133,6,1.715,63.20,-0.554
2004,1357,64,1.701,63.40,-0.504
2016,1371,4,1.764,63.60,-0.445
2028,1424,15,1.837,63.80,-0.454
2040,1452,8,1.898,64.00,-0.416
2052,1606,44,1.887,64.20,-0.574
2064,1426,0,1.857,64.40,-0.552
2076,1674,71,1.895,64.60,-0.462
2088,1919,70,2.119,64.80,-0.434
2100,2038,34,2.215,65.00,-0.596
2112,2374,96,2.290,65.20,-0.457
2124,2392,5,2.240,65.40,-0.497
2136,2434,12,2.305,65.60,-0.438
2148,2497,18,2.424,65.80,-0.517
2160,2759,75,2.559,66.00,-0.575
2172,3015,73,2.695,66.20,-0.201
2184,3067,15,2.712,66.40,-0.561
2196,3071,1,2.713,66.60,-0.443
2208,3351,80,2.901,66.80,-0.052
2220,3372,33,2.955,67.00,0.106
2232,3192,0,2.740,67.20,-0.422
2244,3539,99,2.943,67.40,-0.028
2256,3359,0,2.953,67.60,-0.534
2268,3369,3,2.916,67.80,-0.461
2280,3436,19,2.904,68.00,-0.572
2292,3256,0,2.816,68.20,-0.534
2304,3076,0,2.660,68.40,-0.381
2316,2896,0,2.568,68.60,-0.589
2328,2959,18,2.662,68.80,-0.475
2340,3022,18,2.768,69.00,-0.422
2352,3039,5,2.695,69.20,-0.567
2364,2859,0,2.559,69.40,-0.501
2376,2679,0,2.479,69.60,-0.593
2388,2714,10,2.481,69.80,-0.542
2400,2851,39,2.582,70.00,-0.173
2412,2872,6,2.670,70.20,-0.394
2424,2692,0,2.539,70.40,-0.419
2436,2846,44,2.594,70.60,-0.110
2448,2666,0,2.571,70.80,-0.552
2460,2486,0,2.339,71.00,-0.549
2472,2524,11,2.378,71.20,-0.547
2484,2545,6,2.418,71.40,-0.526
2496,2706,46,2.467,71.60,-0.142
2508,2748,12,2.467,71.80,-0.588
2520,2769,6,2.618,72.00,-0.467
2532,2589,0,2.486,72.20,-0.444
2544,2603,4,2.490,72.40,-0.463
2556,2635,9,2.434,72.60,-0.602
2568,2663,8,2.544,72.80,-0.402
2580,2722,17,2.635,73.00,-0.588
2592,2542,0,2.396,73.20,-0.405
2604,2574,9,2.385,73.40,-0.426
2616,2728,44,2.412,73.60,-0.058
2628,2759,9,2.509,73.80,-0.396
2640,2766,2,2.548,74.00,-0.474
2652,2892,36,2.672,74.20,-0.123
2664,2712,0,2.420,74.40,-0.466
2676,2733,6,2.479,74.60,-0.433
2688,2751,5,2.549,74.80,-0.499
2700,2789,11,2.530,75.00,-0.611
2712,2609,0,2.484,75.20,-0.542
2724,2788,51,2.465,75.40,-0.176
2736,2805,51,2.579,75.60,0.049
2748,2830,7,2.622,75.80,-0.435
2760,2650,0,2.416,76.00,-0.457
2772,2470,0,2.403,76.20,-0.471
2784,2718,71,2.490,76.40,-0.520
